label,text
Positive,"Thus, FGF6 is increased in PIN and prostate cancer and can promote the proliferation of the transformed prostatic epithelial cells via paracrine and autocrine mechanisms."
Positive,Isolation and characterization of the major form of human MUC18 cDNA gene and correlation of MUC18 over-expression in prostate cancer cell lines and tissues with malignant progression.
Positive,"We therefore conclude that MUC18 expression is increased during prostate cancer initiation (high grade PIN) and progression to carcinoma, and in metastatic cell lines and metastatic carcinoma."
Negative,"These results demonstrate that in a sequence-specific manner, RIalpha antisense, via efficient depletion of the growth stimulatory molecule RIalpha, induces growth inhibition, apoptosis, and phenotypic (cell morphology) changes, providing an innovative approach to combat hormone-insensitive prostate cancer cell growth."
Negative,We have found that Cdc6 expression is down-regulated in prostate cancer as detected by semiquantitative reverse transcriptase-PCR of prostate cell lines and laser-captured microdissected prostate tissues.
Negative,"Furthermore, a 100-fold reduction in the transcription efficiency of the Cdc6 promoter-luciferase construct was noted in the metastatic PC3 cells compared with that in BPH-1 cells."
Positive,Sustained increase of the c-myc gene product was detectable in PC-3 but not in DU-145 cells.
Positive,"Concurrently, we demonstrated BN-dependent activation of the transcription factor Elk-1 and significant increase of cell proliferation in both prostate cancer cell lines."
Positive,"Electronic profiling of publicly available expressed sequence tag databases identified a gene, cysteine-rich secretoryprotein-3 (CRISP-3), that is up-regulated in prostate cancer, and of which the expression is relatively prostate-specific."
Positive,Cdc25B is frequently overexpressed in human prostate cancer tissues (29 of 30; 97%).
Positive,PTOV1 was recently identified as a novel gene and protein during a differential display screening for genes overexpressed in prostate cancer.
Positive,"By immunohistochemical analysis, we have found that PTOV1 is overexpressed in 71% of 38 prostate carcinomas and in 80% of samples with prostate intraepithelial neoplasia."
Positive,"MEK5 overexpression is associated with metastatic prostate cancer, and stimulates proliferation, MMP-9 expression and invasion."
Positive,The overexpression of Bax inhibitor-1 (BI-1) in prostate carcinoma and prostate cancer cell lines was confirmed by using Northern blot and Western blot analyses.
Negative,These observations suggest that U19 is growth inhibitory and tumor suppressive and that the disruption of androgen-dependent growth inhibition via U19 down-regulation is commonly associated with prostate cancer progression.
Positive,"First, a comprehensive serial immunohistochemical analysis of primary and metastatic prostate cancer samples showed increased stage-specific expression of IL-11Ralpha during disease progression."
Negative,"We have shown previously that although AP-2 is expressed highly in normal prostatic epithelium, its expression is lost in high-grade prostatic intraepithelial neoplasia and prostate cancer, suggesting that loss of AP-2 plays a role in prostate cancer development."
Negative,Elucidating the molecular events resulting from loss of AP-2 in the prostate epithelium has implications for the understanding and prevention of the onset of prostate cancer.
Negative,"The interaction between FADD and caspase-8 was inhibited, but abrogation of JNK activity or HIPK3 expression was found to restore this interaction and increased the sensitivity of DU 145 cells to Fas receptor-mediated apoptosis."
Positive,"In clinical prostate cancer specimens from patients with varying grades of disease, the stained tissue sections showed high levels of SREBP-1 protein compared with noncancerous prostate tissue."
Positive,"In summary, the LNCaP xenograft model of human prostate cancer as well as clinical specimens of prostate cancer demonstrated an up-regulation of SREBPs and their downstream effector genes during progression to androgen independence."
Positive,An increase in the activity of mitogen-activated protein kinase (MAPK) has been correlated with the progression of prostate cancer to advanced disease in humans.
Positive,"Increasing RSK isoform 2 (RSK2) levels in the human prostate cancer line, LNCaP, enhanced prostate-specific antigen (PSA) expression, an important diagnostic marker for prostate cancer, whereas inhibiting RSK activity using a RSK-specific inhibitor, 3Ac-SL0101, decreased PSA expression."
Negative,"Increasing RSK isoform 2 (RSK2) levels in the human prostate cancer line, LNCaP, enhanced prostate-specific antigen (PSA) expression, an important diagnostic marker for prostate cancer, whereas inhibiting RSK activity using a RSK-specific inhibitor, 3Ac-SL0101, decreased PSA expression."
Negative,Down-regulation of ATM protein sensitizes human prostate cancer cells to radiation-induced apoptosis.
Positive,CBX7 overexpression in LNCaP cells resulted in a slight growth advantage in both androgen-dependent and -independent conditions.
Positive,"Cytochrome P450 1B1 (CYP1B1), a dioxin inducible member of the CYP supergene family, is overexpressed in various human malignancies including prostate cancer."
Positive,Increased expression of osteopontin contributes to the progression of prostate cancer.
Positive,Increased expression of type 2 3alpha-hydroxysteroid dehydrogenase/type 5 17beta-hydroxysteroid dehydrogenase (AKR1C3) and its relationship with androgen receptor in prostate carcinoma.
Positive,We conclude that elevated expression of AKR1C3 is highly associated with prostate carcinoma.
Positive,"Kaplan-Meier survival analysis confirmed increased RPL19 expression to be highly predictive of shorter patient survival (P &lt; 0.05), revealing RPL19 to be a sensitive predictor of prostate cancer progression."
Positive,"Transfection-mediated WWOX overexpression in DU145 cells suppressed colony growth (P = 0.0012), and WWOX overexpression by infection with Ad-WWOX virus induced apoptosis through a caspase-dependent mechanism and suppressed cell growth."
Positive,"Together, our data suggest that strong Tiam1 overexpression relative to the corresponding benign epithelial cells is a new and independent predictor of decreased DFS for patients with prostate cancer."
Positive,"Polycomb-group oncogenes EZH2, BMI1, and RING1 are overexpressed in prostate cancer with adverse pathologic and clinical features."
Positive,"Out of seven isoforms of gal8, the proto isoform gal8e and our newly discovered proto isoform gal8g were upregulated in LNCaP cells compared to PrEC, whereas the two tandem-repeat isoforms gal8a and gal8b were equally expressed in these cells."
Positive,"Out of seven isoforms of gal8, the proto isoform gal8e and our newly discovered proto isoform gal8g were upregulated in LNCaP cells compared to PrEC, whereas the two tandem-repeat isoforms gal8a and gal8b were equally expressed in these cells."
Positive,Increased expression of cyclin B1 sensitizes prostate cancer cells to apoptosis induced by chemotherapy.
Positive,"We present here for the first time that signal transducers and activators of transcription 3 (Stat3), which is constitutively activated in a wide variety of human cancers, including prostate cancer, interacts with PKCepsilon."
Positive,Smad3 is overexpressed in advanced human prostate cancer and necessary for progressive growth of prostate cancer cells in nude mice.
Positive,Clinical data showed that the levels of interleukin-4 (IL-4) are significantly elevated in serum of patients with ablation resistant prostate cancer.
Positive,Overexpression of IL-4 increases the sensitivity of androgen-sensitive LNCaP prostate cancer cells in response to androgen stimulation and enhances the growth of LNCaP cells both in the presence and absence of androgen in vitro and in vivo.
Negative,Loss of BRCA2 promotes prostate cancer cell invasion through up-regulation of matrix metalloproteinase-9.
Negative,"Consistently, PI3-kinase inhibition with a dominant-negative mutant or MAPK/ERK activation with a gain-of-function mutant reduced MMP-9 levels and prevented migration and invasion in wild-type PC-3 cells."
Positive,Hyaluronan synthase 3 overexpression promotes the growth of TSU prostate cancer cells.
Positive,We have previously described the increased expression of two prostate-specific G-protein coupled receptors (PSGR and PSGR2) in human prostate cancer.
Positive,We have previously described the increased expression of two prostate-specific G-protein coupled receptors (PSGR and PSGR2) in human prostate cancer.
Positive,AMACR was the best single marker of prostate cancer but in 7 of the 59 total cases the expression of AMACR was not significantly elevated while PSGR and/or PSGR2 were substantially elevated.
Negative,"Reduction of AR expression in the two androgen-sensitive prostate cancer cell lines, LNCaP and LAPC4, significantly decreased AR-mediated transcription and cell growth."
Negative,Downregulation of protein kinase C suppresses induction of apoptosis in human prostatic carcinoma cells.
Negative,PKC isozyme analysis revealed that chronic PDBu treatment caused downregulation of PKC-alpha and -epsilon in DU-145 cells.
Negative,Antisense bcl-2 oligodeoxynucleotides decreased Bcl-2 protein levels and significantly inhibited PC-3 cell growth in a dose dependent manner.
Positive,Experimental work in various prostate cancer models revealed that the androgen receptor is frequently upregulated and implicated in tumor progression.
Positive,EPCR expression is up-regulated both at the mRNA and protein levels in invasive prostate DU-145 and PC-3 cells in comparison to normal prostate epithelial cells (PrEC) and less-invasive LNCaP cells.
Positive,"Response to bicalutamide in LNCaP cells was represented by downregulation of androgen-regulated genes, activation of the p53 pathway and inhibition of telomerase, which was associated with downregulation of v-myc avian myelocytomatosis viral oncogene homologue (MYC) and telomerase reverse transcriptase subunit."
Negative,"Response to bicalutamide in LNCaP cells was represented by downregulation of androgen-regulated genes, activation of the p53 pathway and inhibition of telomerase, which was associated with downregulation of v-myc avian myelocytomatosis viral oncogene homologue (MYC) and telomerase reverse transcriptase subunit."
Negative,"Response to bicalutamide in LNCaP cells was represented by downregulation of androgen-regulated genes, activation of the p53 pathway and inhibition of telomerase, which was associated with downregulation of v-myc avian myelocytomatosis viral oncogene homologue (MYC) and telomerase reverse transcriptase subunit."
Positive,"In conclusion, we provide an explanation for telomerase inhibition after androgen receptor blockade in LNCaP cells and we also report activation of the p53 pathway in LNCaP cells and in-vitro sensitivity to bicalutamide of low confluent androgen-insensitive DU145 cells."
Negative,"In conclusion, we provide an explanation for telomerase inhibition after androgen receptor blockade in LNCaP cells and we also report activation of the p53 pathway in LNCaP cells and in-vitro sensitivity to bicalutamide of low confluent androgen-insensitive DU145 cells."
Positive,Reactivation of androgen receptor-regulated TMPRSS2:ERG gene expression in castration-resistant prostate cancer.
Positive,Reactivation of androgen receptor-regulated TMPRSS2:ERG gene expression in castration-resistant prostate cancer.
Positive,"Moreover, as observed in the clinical samples, ERG expression was fully restored in the VCaP xenografts that relapsed after castration, coincident with AR reactivation."
Positive,"Moreover, as observed in the clinical samples, ERG expression was fully restored in the VCaP xenografts that relapsed after castration, coincident with AR reactivation."
Positive,We observed that re-expression of AR in the AR-negative cells PC3 decreases anchorage-independent growth and Matrigel invasiveness of PC3-AR cells where plasma membrane interaction between AR and EGFR led to an interference with downstream signalling and internalization of activated EGFR.
Positive,"M12 cells, like many other human cancer cells, contain constitutively activated signal transducer and activator of transcription 3 (STAT3)."
Negative,"Strikingly, IFN-gamma-induced apoptosis and growth inhibition of M12 cells were associated with persistent suppression of the constitutive tyrosine-phosphorylated STAT3 (pY-STAT3)."
Negative,"In this study, while demonstrating suppressed levels of Tm1 in the prostate cancer cell lines LNCaP, PC3, and DU-145 compared to normal prostate epithelial cell primary isolates (PrEC), a novel splice variant of the TPM2 gene was identified."
Negative,These findings suggest that inhibition of COX-2 development may lead not only to inhibition of the proliferation and metastasis of prostate carcinoma but also to the inhibition of prostate carcinogenesis.
Positive,Prostate cancer bony metastases show increased expression of the PTH receptor (PTH-IR) and PTH promotes the growth and invasiveness of prostate cancer cells in bone.
Positive,Prostate cancer bony metastases show increased expression of the PTH receptor (PTH-IR) and PTH promotes the growth and invasiveness of prostate cancer cells in bone.
Positive,Prostate cancer bony metastases show increased expression of the PTH receptor (PTH-IR) and PTH promotes the growth and invasiveness of prostate cancer cells in bone.
Positive,"A broad spectrum of tumor derived cell lines, from varied tissue sources and blood samples from patients having confirmed prostate carcinoma, all scored positive for expression of PTI-1, while corresponding normal tissues or blood samples were negative."
Negative,A decrease in PSA level is associated with both survival and response in soft tissue lesions and should be incorporated into the response criteria and reporting of trials of cytotoxic agents in prostate cancer.
Negative,miR 488* inhibits androgen receptor expression in prostate carcinoma cells.
Negative,"NSAIDs exert their anti-inflammatory effects by inhibiting cyclooxygenase (COX) activity; however, evidence suggests that COX-independent mechanisms mediate decreased prostate cancer cell survival."
Negative,"NSAIDs exert their anti-inflammatory effects by inhibiting cyclooxygenase (COX) activity; however, evidence suggests that COX-independent mechanisms mediate decreased prostate cancer cell survival."
Negative,"Hence, R-flurbiprofen and ibuprofen selectively induce p75(NTR)-dependent decreased survival of prostate cancer cells independently of COX inhibition."
Negative,"Here we show that an increase in the level of expression of Bcl-2 in the human prostate carcinoma cell line LNCaP observed in response to hormone withdrawal is further augmented by TNF-alpha treatment, and this effect is abated by inhibitors of NF-kappa B."
Positive,"Concomitantly, bcl-2 p2 promoter studies in LNCaP cells show a 40-fold increase in promoter activity after stimulation with TNF-alpha in the absence of hormone."
Positive,"Here we show that an increase in the level of expression of Bcl-2 in the human prostate carcinoma cell line LNCaP observed in response to hormone withdrawal is further augmented by TNF-alpha treatment, and this effect is abated by inhibitors of NF-kappa B."
Negative,"For example, some studies showed that CLU expression is increased in advanced stages of prostate cancer and that suppression of CLU expression sensitizes prostate cancer cells to chemotherapeutic drugs killing."
Positive,"For example, some studies showed that CLU expression is increased in advanced stages of prostate cancer and that suppression of CLU expression sensitizes prostate cancer cells to chemotherapeutic drugs killing."
Negative,"In contrast with the hypothesis that CLU is a positive modulator of prostate cancer, we and others have observed that CLU is downregulated during human prostate cancer progression."
Negative,"Accordingly, a meta-analysis of available microarray data shows that CLU mRNA is significantly downregulated in prostate cancer tissue compared to normal prostate in 14 out of 15 independent studies."
Negative,"Consistently, CLU expression was found to be significantly reduced in untreated and hormone-refractory human prostate carcinomas."
Negative,"In PC-3 cells, adhesion molecule expression, analyzed by immunoblotting, was unaffected by LA, while a down-regulation of c-met (up to 28%) was observed after 24 h of treatment but which did not hold up over time (48-144 h)."
Positive,"Our findings demonstrate the efficacy of LA in upregulating E-cadherin, β- and γ-catenin in LNCaP cells."
Positive,"Our findings demonstrate the efficacy of LA in upregulating E-cadherin, β- and γ-catenin in LNCaP cells."
Positive,In BPH samples there was a significant correlation between CD38 loss (mean 21% of acini) and HLA-DR up-regulation (mean 20%; P &lt; 0.001).
Positive,"Moreover, 76% of all CD38-negative acini in BPH had HLA-DR up-regulation in the same prostate epithelial cells, predominantly in atrophic and cystic glands, and in cells with retained secretions (74%)."
Negative,"The absence of CD38 and presence of HLA-DR expression in prostatic epithelium is consistent in BPH and tissue surrounding tumour, and strongly related to gland atrophy."
Positive,The prostate cancer detection rate in patients with elevated prostate specific antigen (PSA) increases with extended needle biopsy protocols.
Positive,The prostate cancer detection rate in patients with elevated prostate specific antigen (PSA) increases with extended needle biopsy protocols.
Negative,"R-etodolac, a nonsteroidal anti-inflammatory drug, inhibits the progression of CWRSA6 androgen-independent and LuCaP-35 androgen-dependent prostate cancer xenograft growth through downregulation of cyclin D1 expression via the PPARgamma pathway."
Positive,Constitutive activation of MAPK/ERK inhibits prostate cancer cell proliferation through upregulation of BRCA2.
Positive,Overexpressing PKIB in prostate cancer promotes its aggressiveness by linking between PKA and Akt pathways.
Negative,"DHT-induced E2F-1 protein and mRNA expressions was also inhibited by BMP-2, suggesting that BMP-2 inhibits DHT-induced growth of LNCaP cells through a decrease in E2F protein expression and suppression of E2F activity by hypophosphorylation of Rb."
Negative,"DHT-induced E2F-1 protein and mRNA expressions was also inhibited by BMP-2, suggesting that BMP-2 inhibits DHT-induced growth of LNCaP cells through a decrease in E2F protein expression and suppression of E2F activity by hypophosphorylation of Rb."
Negative,"DHT-induced E2F-1 protein and mRNA expressions was also inhibited by BMP-2, suggesting that BMP-2 inhibits DHT-induced growth of LNCaP cells through a decrease in E2F protein expression and suppression of E2F activity by hypophosphorylation of Rb."
Negative,Dual blockade of PKA and NF-κB inhibits H2 relaxin-mediated castrate-resistant growth of prostate cancer sublines and induces apoptosis.
Negative,Dual blockade of PKA and NF-κB inhibits H2 relaxin-mediated castrate-resistant growth of prostate cancer sublines and induces apoptosis.
Positive,"Immunohistochemical analysis of tissue microarrays in combination with multispectral quantitative imaging comparing RLN2 levels in patients with benign prostatic hyperplasia (BPH), prostatic intraepithelial neoplasia, and CaP determined that RLN2 is significantly upregulated in CaP vs BPH (p = 0.002)."
Positive,"In surgically excised adult human prostate tissues, localized accumulations of TGF-beta1 are associated with prostate cancer and benign prostatic hyperplasia (BPH)."
