__label__Positive	Thus, FGF6 is increased in PIN and prostate cancer and can promote the proliferation of the transformed prostatic epithelial cells via paracrine and autocrine mechanisms.
__label__Positive	Isolation and characterization of the major form of human MUC18 cDNA gene and correlation of MUC18 over-expression in prostate cancer cell lines and tissues with malignant progression.
__label__Positive	We therefore conclude that MUC18 expression is increased during prostate cancer initiation (high grade PIN) and progression to carcinoma, and in metastatic cell lines and metastatic carcinoma.
__label__Negative	These results demonstrate that in a sequence-specific manner, RIalpha antisense, via efficient depletion of the growth stimulatory molecule RIalpha, induces growth inhibition, apoptosis, and phenotypic (cell morphology) changes, providing an innovative approach to combat hormone-insensitive prostate cancer cell growth.
__label__Negative	We have found that Cdc6 expression is down-regulated in prostate cancer as detected by semiquantitative reverse transcriptase-PCR of prostate cell lines and laser-captured microdissected prostate tissues.
__label__Negative	Furthermore, a 100-fold reduction in the transcription efficiency of the Cdc6 promoter-luciferase construct was noted in the metastatic PC3 cells compared with that in BPH-1 cells.
__label__Positive	Sustained increase of the c-myc gene product was detectable in PC-3 but not in DU-145 cells.
__label__Positive	Concurrently, we demonstrated BN-dependent activation of the transcription factor Elk-1 and significant increase of cell proliferation in both prostate cancer cell lines.
__label__Positive	Electronic profiling of publicly available expressed sequence tag databases identified a gene, cysteine-rich secretoryprotein-3 (CRISP-3), that is up-regulated in prostate cancer, and of which the expression is relatively prostate-specific.
__label__Positive	Cdc25B is frequently overexpressed in human prostate cancer tissues (29 of 30; 97%).
__label__Positive	PTOV1 was recently identified as a novel gene and protein during a differential display screening for genes overexpressed in prostate cancer.
__label__Positive	By immunohistochemical analysis, we have found that PTOV1 is overexpressed in 71% of 38 prostate carcinomas and in 80% of samples with prostate intraepithelial neoplasia.
__label__Positive	MEK5 overexpression is associated with metastatic prostate cancer, and stimulates proliferation, MMP-9 expression and invasion.
__label__Positive	The overexpression of Bax inhibitor-1 (BI-1) in prostate carcinoma and prostate cancer cell lines was confirmed by using Northern blot and Western blot analyses.
__label__Negative	These observations suggest that U19 is growth inhibitory and tumor suppressive and that the disruption of androgen-dependent growth inhibition via U19 down-regulation is commonly associated with prostate cancer progression.
__label__Positive	First, a comprehensive serial immunohistochemical analysis of primary and metastatic prostate cancer samples showed increased stage-specific expression of IL-11Ralpha during disease progression.
__label__Negative	We have shown previously that although AP-2 is expressed highly in normal prostatic epithelium, its expression is lost in high-grade prostatic intraepithelial neoplasia and prostate cancer, suggesting that loss of AP-2 plays a role in prostate cancer development.
__label__Negative	Elucidating the molecular events resulting from loss of AP-2 in the prostate epithelium has implications for the understanding and prevention of the onset of prostate cancer.
__label__Negative	The interaction between FADD and caspase-8 was inhibited, but abrogation of JNK activity or HIPK3 expression was found to restore this interaction and increased the sensitivity of DU 145 cells to Fas receptor-mediated apoptosis.
__label__Positive	In clinical prostate cancer specimens from patients with varying grades of disease, the stained tissue sections showed high levels of SREBP-1 protein compared with noncancerous prostate tissue.
__label__Positive	In summary, the LNCaP xenograft model of human prostate cancer as well as clinical specimens of prostate cancer demonstrated an up-regulation of SREBPs and their downstream effector genes during progression to androgen independence.
__label__Positive	An increase in the activity of mitogen-activated protein kinase (MAPK) has been correlated with the progression of prostate cancer to advanced disease in humans.
__label__Positive	Increasing RSK isoform 2 (RSK2) levels in the human prostate cancer line, LNCaP, enhanced prostate-specific antigen (PSA) expression, an important diagnostic marker for prostate cancer, whereas inhibiting RSK activity using a RSK-specific inhibitor, 3Ac-SL0101, decreased PSA expression.
__label__Negative	Increasing RSK isoform 2 (RSK2) levels in the human prostate cancer line, LNCaP, enhanced prostate-specific antigen (PSA) expression, an important diagnostic marker for prostate cancer, whereas inhibiting RSK activity using a RSK-specific inhibitor, 3Ac-SL0101, decreased PSA expression.
__label__Negative	Down-regulation of ATM protein sensitizes human prostate cancer cells to radiation-induced apoptosis.
__label__Positive	CBX7 overexpression in LNCaP cells resulted in a slight growth advantage in both androgen-dependent and -independent conditions.
__label__Positive	Cytochrome P450 1B1 (CYP1B1), a dioxin inducible member of the CYP supergene family, is overexpressed in various human malignancies including prostate cancer.
__label__Positive	Increased expression of osteopontin contributes to the progression of prostate cancer.
__label__Positive	Increased expression of type 2 3alpha-hydroxysteroid dehydrogenase/type 5 17beta-hydroxysteroid dehydrogenase (AKR1C3) and its relationship with androgen receptor in prostate carcinoma.
__label__Positive	We conclude that elevated expression of AKR1C3 is highly associated with prostate carcinoma.
__label__Positive	Kaplan-Meier survival analysis confirmed increased RPL19 expression to be highly predictive of shorter patient survival (P &lt; 0.05), revealing RPL19 to be a sensitive predictor of prostate cancer progression.
__label__Positive	Transfection-mediated WWOX overexpression in DU145 cells suppressed colony growth (P = 0.0012), and WWOX overexpression by infection with Ad-WWOX virus induced apoptosis through a caspase-dependent mechanism and suppressed cell growth.
__label__Positive	Together, our data suggest that strong Tiam1 overexpression relative to the corresponding benign epithelial cells is a new and independent predictor of decreased DFS for patients with prostate cancer.
__label__Positive	Polycomb-group oncogenes EZH2, BMI1, and RING1 are overexpressed in prostate cancer with adverse pathologic and clinical features.
__label__Positive	Out of seven isoforms of gal8, the proto isoform gal8e and our newly discovered proto isoform gal8g were upregulated in LNCaP cells compared to PrEC, whereas the two tandem-repeat isoforms gal8a and gal8b were equally expressed in these cells.
__label__Positive	Out of seven isoforms of gal8, the proto isoform gal8e and our newly discovered proto isoform gal8g were upregulated in LNCaP cells compared to PrEC, whereas the two tandem-repeat isoforms gal8a and gal8b were equally expressed in these cells.
__label__Positive	Increased expression of cyclin B1 sensitizes prostate cancer cells to apoptosis induced by chemotherapy.
__label__Positive	We present here for the first time that signal transducers and activators of transcription 3 (Stat3), which is constitutively activated in a wide variety of human cancers, including prostate cancer, interacts with PKCepsilon.
__label__Positive	Smad3 is overexpressed in advanced human prostate cancer and necessary for progressive growth of prostate cancer cells in nude mice.
__label__Positive	Clinical data showed that the levels of interleukin-4 (IL-4) are significantly elevated in serum of patients with ablation resistant prostate cancer.
