geneSymbol	diseaseName
A1BG	Hepatomegaly
A1BG	Schizophrenia
A2M	Alzheimer's Disease
A2M	Malignant tumor of colon
A2M	Colonic Neoplasms
A2M	Presenile dementia
A2M	Mental Depression
A2M	Depressive disorder
A2M	Hepatolenticular Degeneration
A2M	Kidney Failure, Acute
A2M	Liver Cirrhosis
A2M	Liver Cirrhosis, Experimental
A2M	Lung diseases
A2M	Lung Neoplasms
A2M	Nephrotic Syndrome
A2M	Hepatocellular Adenoma
A2M	Fibrosis, Liver
A2M	Malignant neoplasm of lung
A2M	Familial Alzheimer Disease (FAD)
A2M	Alzheimer Disease, Late Onset
A2M	Acute Confusional Senile Dementia
A2M	Alzheimer's Disease, Focal Onset
A2M	Alzheimer Disease, Early Onset
A2M	Hepatic Form of Wilson Disease
A2M	Acute Kidney Insufficiency
A2M	Liver carcinoma
A2M	Acute kidney injury
A2M	alpha-2-Macroglobulin Deficiency
NAT1	Alcoholic Intoxication, Chronic
NAT1	Autosome Abnormalities
NAT1	Malignant neoplasm of urinary bladder
NAT1	Bladder Neoplasm
NAT1	Malignant Neoplasms
NAT1	Chromosome Aberrations
NAT1	Drug toxicity
NAT1	Neoplasms
NAT1	Dermatitis, Occupational
NAT1	Prostatic Neoplasms
NAT1	Adverse reaction to drug
NAT1	Industrial Dermatosis
NAT1	Benign Neoplasm
NAT1	Malignant neoplasm of prostate
NAT2	Malignant neoplasm of urinary bladder
NAT2	Bladder Neoplasm
NAT2	Malignant neoplasm of breast
NAT2	Coronary Arteriosclerosis
NAT2	Diastematomyelia
NAT2	Drug Allergy
NAT2	Drug toxicity
NAT2	Hepatitis, Toxic
NAT2	Childhood Acute Lymphoblastic Leukemia
NAT2	Leukemia, Lymphocytic, Acute, L2
NAT2	Leukopenia
NAT2	Liver neoplasms
NAT2	Neural Tube Defects
NAT2	Neurenteric Cyst
NAT2	Dermatitis, Occupational
NAT2	Prostatic Neoplasms
NAT2	Adverse reaction to drug
