,CLASS,SENTENCE
0,other,"As most tobacco control programs in Bangladesh target mainly cigarette or bidi smoking, coordinated programs are needed that will also include SLT use within the tobacco control policy and prevention strategies. "
1,other,"SLT can cause oral cancer [4], [5] and nicotine addiction [6] and is associated with several other health conditions including oral pain [7], cardiovascular diseases [8], hypertension [9], diabetes [10], loss in bone density [11], and problems during pregnancy and following childbirth [12]. "
2,other,"Also, currently most anti-tobacco campaigns in Bangladesh focuses on cigarette or bidi smoking without any information about SLT use. "
3,other,This increased likelihood of SLT use is related to the social acceptance of SLT use by the older people and a greater appeal of cigarette among the younger generations who may be taking up smoking instead of SLT use. 
4,other,"Use of SLT may provide a supplementation or substitution of nicotine intake for cigarette smokers [31] encouraging their continued use; this scenario could be particularly true in situations in which smoking is not socially acceptable, but SLT use is. "
5,other,"As most tobacco control programs target mainly cigarette or bidi smoking, coordinated programs are needed that will also include SLT use within the tobacco control policy and prevention strategies. "
6,other,"Interleukin (IL)-1β, IL-4, IL-6, IL-10, IL-12, IL-13, IL-17, interferon (IFN)-γ, chemokine C-C motif ligand 5 (CCL5) and tumor necrosis factor (TNF)-α were tested in tear samples and sera of keratoconus and control individuals by multiplex immuno-bead assays. "
7,gene_disease,"These differences include increased IL-6, and decreased IL-12, TNF-α, IFN-γ, IL-4, IL-13 and CCL5 in keratoconus compared to control tear fluids. "
8,gene_disease,"The decreases in IL-12, TNF-α and CCL5 were statistically significant, while the IL-13 decrease was statistically significant in the severe keratoconus group only. "
9,gene_disease,"IL-17 could not be detected by multiplex immuno-bead assay, but showed an increase in keratoconus by conventional ELISA on a limited number of pooled tear samples. "
10,gene_disease,"Our findings confirm increased IL-6, but dispute earlier reports of increased TNF-α, and suggest a cytokine imbalance in keratoconus disrupting corneal homeostasis. "
11,gene_disease,"Moreover, an increase in IL-17 suggests tissue degenerative processes at work, contributing to the thinning and weakening of the corneal connective tissue in keratoconus. "
12,gene_disease,"Recent studies have suggested pro-inflammatory factors as key to keratoconus pathogenesis based on their findings of elevated interleukin (IL)-6, tumor necrosis factor (TNF)-α and matrix metalloproteinase (MMP)-9 in the tear fluid of keratoconus patients [8], [9]. "
13,gene_disease,"Despite these initial findings of specific changes in inflammatory cytokines, there are no studies that have examined a range of cytokines to determine whether keratoconus is associated with an imbalance in the repertoire of cytokines that regulate inflammatory and immune responses driven by subsets of T-helper cells, TH1, TH2, and TH17 in the corneal environment. "
14,gene_disease,"To begin addressing this question, we quantified TH1 cytokines (IL-12, IFN-γ and TNF-α), TH2 cytokines (IL-4, IL-10 and IL-13), the TH17 representative cytokine IL-17, and other inflammatory cytokines/chemokines (IL-1β, IL-6, and RANTES or CCL5) in tear fluids and serum samples of keratoconus patients and control subjects. "
