EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
0	15:08:01	0	0.1000	0.5948715245439893	0.6471119523048401	0.628	0.628	0.628
1	15:08:20	0	0.1000	0.5668406681645484	0.6153796315193176	0.6815	0.6815	0.6815
2	15:08:40	1	0.1000	0.539126393163488	0.6565684676170349	0.5833	0.5833	0.5833
3	15:08:58	2	0.1000	0.5190899801396188	1.0172265768051147	0.628	0.628	0.628
4	15:09:16	3	0.1000	0.48838955022039865	0.5821824073791504	0.6696	0.6696	0.6696
5	15:09:33	0	0.1000	0.4743121841124126	0.4838353097438812	0.8065	0.8065	0.8065
6	15:09:52	1	0.1000	0.4649090130059492	0.6335316896438599	0.6488	0.6488	0.6488
7	15:10:10	2	0.1000	0.4317438288458756	0.44570061564445496	0.7827	0.7827	0.7827
8	15:10:27	0	0.1000	0.4263987237853663	0.41167691349983215	0.8512	0.8512	0.8512
9	15:10:47	1	0.1000	0.41086282385956674	0.48136597871780396	0.7202	0.7202	0.7202
