These	O
results	O
demonstrate	O
that	O
in	O
a	O
sequence	O
-	O
specific	O
manner	O
,	O
RIalpha	O
antisense	O
,	O
via	O
efficient	O
depletion	B-Negative_regulation
of	O
the	O
growth	B-GP
stimulatory	I-GP
molecule	I-GP
RIalpha	I-GP
,	O
induces	O
growth	O
inhibition	O
,	O
apoptosis	O
,	O
and	O
phenotypic	O
(	O
cell	O
morphology	O
)	O
changes	O
,	O
providing	O
an	O
innovative	O
approach	O
to	O
combat	O
hormone	O
-	O
insensitive	O
prostate	B-DS
cancer	I-DS
cell	O
growth	O
.	O

PTOV1	B-GP
was	O
recently	O
identified	O
as	O
a	O
novel	O
gene	O
and	O
protein	O
during	O
a	O
differential	O
display	O
screening	O
for	O
genes	O
overexpressed	B-Gene_expression
in	O
prostate	B-DS
cancer	I-DS
.	O

Down	B-Negative_regulation
-	I-Negative_regulation
regulation	I-Negative_regulation
of	O
ATM	B-GP
protein	I-GP
sensitizes	O
human	O
prostate	B-DS
cancer	I-DS
cells	O
to	O
radiation	O
-	O
induced	O
apoptosis	O
.	O

We	O
conclude	O
that	O
elevated	B-Positive_regulation
expression	B-Gene_expression
of	O
AKR1C3	B-GP
is	O
highly	O
associated	O
with	O
prostate	B-DS
carcinoma	I-DS
.	O

Kaplan	O
-	O
Meier	O
survival	O
analysis	O
confirmed	O
increased	B-Positive_regulation
RPL19	B-GP
expression	B-Gene_expression
to	O
be	O
highly	O
predictive	O
of	O
shorter	O
patient	O
survival	O
(	O
P	O
&	O
lt	O
;	O
0	O
.	O
05	O
),	O
revealing	O
RPL19	O
to	O
be	O
a	O
sensitive	O
predictor	O
of	O
prostate	B-DS
cancer	I-DS
progression	O
.	O

We	O
have	O
previously	O
described	O
the	O
increased	B-Positive_regulation
expression	B-Gene_expression
of	O
two	O
prostate	O
-	O
specific	O
G	O
-	O
protein	O
coupled	O
receptors	O
(	O
PSGR	B-GP
and	O
PSGR2	B-GP
)	O
in	O
human	O
prostate	B-DS
cancer	I-DS
.	O

Response	O
to	O
bicalutamide	O
in	O
LNCaP	B-DS
cells	O
was	O
represented	O
by	O
downregulation	O
of	O
androgen	O
-	O
regulated	O
genes	O
,	O
activation	B-Positive_regulation
of	O
the	O
p53	B-GP
pathway	O
and	O
inhibition	O
of	O
telomerase	O
,	O
which	O
was	O
associated	O
with	O
downregulation	B-Negative_regulation
of	O
v	O
-	O
myc	O
avian	O
myelocytomatosis	O
viral	O
oncogene	O
homologue	O
(	O
MYC	B-GP
)	O
and	O
telomerase	B-GP
reverse	I-GP
transcriptase	I-GP
subunit	I-GP
.	O

NSAIDs	O
