Thus	O
,	O
FGF6	B-GP
is	O
increased	B-Positive_regulation
in	O
PIN	O
and	O
prostate	B-DS
cancer	I-DS
and	O
can	O
promote	O
the	O
proliferation	O
of	O
the	O
transformed	O
prostatic	O
epithelial	O
cells	O
via	O
paracrine	O
and	O
autocrine	O
mechanisms	O
.	O

Isolation	O
and	O
characterization	O
of	O
the	O
major	O
form	O
of	O
human	O
MUC18	O
cDNA	O
gene	O
and	O
correlation	O
of	O
MUC18	B-GP
over	B-Gene_expression
-	I-Gene_expression
expression	I-Gene_expression
in	O
prostate	B-DS
cancer	I-DS
cell	O
lines	O
and	O
tissues	O
with	O
malignant	O
progression	O
.	O

We	O
therefore	O
conclude	O
that	O
MUC18	B-GP
expression	B-Gene_expression
is	O
increased	B-Positive_regulation
during	O
prostate	B-DS
cancer	I-DS
initiation	O
(	O
high	O
grade	O
PIN	O
)	O
and	O
progression	O
to	O
carcinoma	O
,	O
and	O
in	O
metastatic	O
cell	O
lines	O
and	O
metastatic	O
carcinoma	O
.	O

We	O
have	O
found	O
that	O
Cdc6	B-GP
expression	B-Gene_expression
is	O
down	B-Negative_regulation
-	I-Negative_regulation
regulated	I-Negative_regulation
in	O
prostate	B-DS
cancer	I-DS
as	O
detected	O
by	O
semiquantitative	O
reverse	O
transcriptase	O
-	O
PCR	O
of	O
prostate	O
cell	O
lines	O
and	O
laser	O
-	O
captured	O
microdissected	O
prostate	O
tissues	O
.	O

Furthermore	O
,	O
a	O
100	O
-	O
fold	O
reduction	B-Negative_regulation
in	O
the	O
transcription	O
efficiency	O
of	O
the	O
Cdc6	B-GP
promoter	I-GP
-	I-GP
luciferase	I-GP
construct	I-GP
was	O
noted	O
in	O
the	O
metastatic	O
PC3	B-DS
cells	O
compared	O
with	O
that	O
in	O
BPH	O
-	O
1	O
cells	O
.	O

Sustained	O
increase	B-Positive_regulation
of	O
the	O
c	B-GP
-	I-GP
myc	I-GP
gene	I-GP
product	I-GP
was	O
detectable	O
in	O
PC	B-DS
-	I-DS
3	O
but	O
not	O
in	O
DU	O
-	O
145	O
cells	O
.	O

Concurrently	O
,	O
we	O
demonstrated	O
BN	O
-	O
dependent	O
activation	B-Positive_regulation
of	O
the	O
transcription	B-GP
factor	I-GP
Elk	I-GP
-	I-GP
1	O
and	O
significant	O
increase	O
of	O
cell	O
proliferation	O
in	O
both	O
prostate	B-DS
cancer	I-DS
cell	O
lines	O
.	O

Electronic	O
profiling	O
of	O
publicly	O
available	O
expressed	O
sequence	O
tag	O
databases	O
identified	O
a	O
gene	O
,	O
cysteine	O
-	O
rich	O
secretoryprotein	O
-	O
3	O
(	O
CRISP	B-GP
-	I-GP
3	O
),	O
that	O
is	O
up	B-Positive_regulation
-	I-Positive_regulation
regulated	I-Positive_regulation
in	O
prostate	B-DS
cancer	I-DS
,	O
and	O
of	O
which	O
the	O
expression	O
is	O
relatively	O
prostate	O
-	O
specific	O
.	O

Cdc25B	B-GP
is	O
frequently	O
overexpressed	B-Gene_expression
in	O
human	O
prostate	B-DS
cancer	I-DS
tissues	O
(	O
29	O
of	O
30	O
;	O
97	O
%).	O

MEK5	B-GP
overexpression	B-Gene_expression
is	O
associated	O
with	O
metastatic	O
prostate	B-DS
cancer	I-DS
,	O
and	O
stimulates	O
proliferation	O
,	O
MMP	O
-	O
9	O
expression	O
and	O
invasion	O
.	O

The	O
overexpression	B-Gene_expression
of	O
Bax	O
inhibitor	O
-	O
1	O
(	O
BI	B-GP
-	I-GP
1	O
)	O
in	O
prostate	O
carcinoma	O
and	O
prostate	B-DS
cancer	I-DS
cell	O
lines	O
was	O
confirmed	O
by	O
using	O
Northern	O
blot	O
and	O
Western	O
blot	O
analyses	O
.	O

These	O
observations	O
suggest	O
that	O
U19	O
is	O
growth	O
inhibitory	O
and	O
tumor	O
suppressive	O
and	O
that	O
the	O
disruption	O
of	O
androgen	O
-	O
dependent	O
growth	O
inhibition	O
via	O
U19	B-GP
down	B-Negative_regulation
-	I-Negative_regulation
regulation	I-Negative_regulation
is	O
commonly	O
associated	O
with	O
prostate	B-DS
cancer	I-DS
progression	O
.	O

First	O
,	O
a	O
comprehensive	O
serial	O
immunohistochemical	O
analysis	O
of	O
primary	O
and	O
metastatic	O
prostate	B-DS
cancer	I-DS
samples	O
