EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
0	20:01:54	0	0.1500	0.25934601746021063	0.8214297890663147	0.555	0.555	0.555
1	20:05:30	0	0.1500	0.26088878471370136	0.4384341537952423	0.828	0.828	0.828
2	20:09:07	0	0.1500	0.20122337990671124	0.48763346672058105	0.832	0.832	0.832
3	20:12:45	1	0.1500	0.18458556353088912	0.49800798296928406	0.803	0.803	0.803
4	20:16:24	2	0.1500	0.1971160374376752	0.9119511246681213	0.727	0.727	0.727
5	20:20:02	3	0.1500	0.19905491474024747	0.49072185158729553	0.809	0.809	0.809
6	20:23:39	4	0.1500	0.16155755031136199	0.4894084632396698	0.82	0.82	0.82
7	20:27:16	0	0.1500	0.1762476840970713	0.48284316062927246	0.835	0.835	0.835
8	20:30:58	0	0.1500	0.1575284817623436	0.4993467926979065	0.837	0.837	0.837
9	20:34:40	1	0.1500	0.15164830658687364	0.6032413244247437	0.791	0.791	0.791
10	20:38:18	2	0.1500	0.1511629595327268	0.44877660274505615	0.819	0.819	0.819
11	20:41:59	3	0.1500	0.15273436131553914	0.46739667654037476	0.835	0.835	0.835
12	20:45:37	0	0.1500	0.15156565194761534	0.5140019655227661	0.841	0.841	0.841
13	20:49:20	1	0.1500	0.1581931954266828	0.5215329527854919	0.832	0.832	0.832
14	20:52:58	0	0.1500	0.12735884735753777	0.42768654227256775	0.844	0.844	0.844
15	20:56:40	1	0.1500	0.16536842806076785	0.6860137581825256	0.821	0.821	0.821
16	21:00:16	2	0.1500	0.14047939569578258	0.46196967363357544	0.842	0.842	0.842
17	21:03:57	3	0.1500	0.1211122057545896	0.48662304878234863	0.829	0.829	0.829
18	21:07:36	4	0.1500	0.11991347739934374	0.4478989541530609	0.832	0.832	0.832
19	21:11:16	5	0.1500	0.11598844067492617	0.59737229347229	0.843	0.843	0.843
20	21:14:54	6	0.1500	0.10297187802236561	0.5772407054901123	0.834	0.834	0.834
21	21:18:32	1	0.0750	0.0897184945984718	0.5518971681594849	0.843	0.843	0.843
22	21:22:07	2	0.0750	0.09020770757262586	0.5075392127037048	0.822	0.822	0.822
23	21:25:42	3	0.0750	0.08351321878988262	0.5898155570030212	0.84	0.84	0.84
24	21:29:17	4	0.0750	0.0682625973494638	0.5917296409606934	0.844	0.844	0.844
25	21:32:56	5	0.0750	0.0690007134673929	0.6243242025375366	0.836	0.836	0.836
26	21:36:33	6	0.0750	0.06927958444837447	0.605681300163269	0.84	0.84	0.84
27	21:40:08	1	0.0375	0.06028610688352257	0.6144388914108276	0.837	0.837	0.837
28	21:43:44	2	0.0375	0.060543909940202166	0.6402316093444824	0.841	0.841	0.841
29	21:47:19	3	0.0375	0.056991422335284016	0.6444229483604431	0.836	0.836	0.836
30	21:50:54	4	0.0375	0.05476046046840215	0.6293860077857971	0.841	0.841	0.841
31	21:54:31	5	0.0375	0.05564286362448143	0.5997949838638306	0.843	0.843	0.843
32	21:58:10	6	0.0375	0.05110839471528563	0.7056571841239929	0.839	0.839	0.839
33	22:01:47	1	0.0187	0.049896330982788444	0.678863525390625	0.839	0.839	0.839
