| end of split   1 /  8 | epoch   1 | time: 12.60s | valid loss  2.42 | valid ppl    11.24 | learning rate 20.0000
| end of split   2 /  8 | epoch   1 | time: 11.27s | valid loss  2.19 | valid ppl     8.90 | learning rate 20.0000
| end of split   3 /  8 | epoch   1 | time: 11.29s | valid loss  2.20 | valid ppl     9.03 | learning rate 20.0000
| end of split   4 /  8 | epoch   1 | time: 11.98s | valid loss  2.31 | valid ppl    10.12 | learning rate 20.0000
| end of split   5 /  8 | epoch   1 | time: 15.36s | valid loss  2.27 | valid ppl     9.66 | learning rate 20.0000
| end of split   6 /  8 | epoch   1 | time: 15.19s | valid loss  2.32 | valid ppl    10.18 | learning rate 20.0000
| end of split   7 /  8 | epoch   1 | time: 13.22s | valid loss  2.28 | valid ppl     9.77 | learning rate 20.0000
| end of split   8 /  8 | epoch   1 | time: 12.26s | valid loss  2.33 | valid ppl    10.27 | learning rate 20.0000
| end of split   1 /  8 | epoch   2 | time: 18.18s | valid loss  2.35 | valid ppl    10.49 | learning rate 20.0000
| end of split   2 /  8 | epoch   2 | time: 12.71s | valid loss  2.34 | valid ppl    10.39 | learning rate 20.0000
| end of split   3 /  8 | epoch   2 | time: 13.27s | valid loss  2.39 | valid ppl    10.93 | learning rate 20.0000
| end of split   4 /  8 | epoch   2 | time: 16.69s | valid loss  2.41 | valid ppl    11.12 | learning rate 20.0000
| end of split   5 /  8 | epoch   2 | time: 15.13s | valid loss  2.42 | valid ppl    11.30 | learning rate 20.0000
| end of split   6 /  8 | epoch   2 | time: 14.57s | valid loss  2.13 | valid ppl     8.41 | learning rate 5.0000
| end of split   7 /  8 | epoch   2 | time: 14.06s | valid loss  2.11 | valid ppl     8.26 | learning rate 5.0000
| end of split   8 /  8 | epoch   2 | time: 19.29s | valid loss  2.12 | valid ppl     8.36 | learning rate 5.0000
| end of split   1 /  8 | epoch   3 | time: 20.45s | valid loss  2.12 | valid ppl     8.37 | learning rate 5.0000
| end of split   2 /  8 | epoch   3 | time: 13.29s | valid loss  2.06 | valid ppl     7.82 | learning rate 5.0000
| end of split   3 /  8 | epoch   3 | time: 14.73s | valid loss  2.05 | valid ppl     7.75 | learning rate 5.0000
| end of split   4 /  8 | epoch   3 | time: 14.11s | valid loss  2.03 | valid ppl     7.61 | learning rate 5.0000
| end of split   5 /  8 | epoch   3 | time: 18.86s | valid loss  2.06 | valid ppl     7.86 | learning rate 5.0000
| end of split   6 /  8 | epoch   3 | time: 13.68s | valid loss  2.02 | valid ppl     7.56 | learning rate 5.0000
| end of split   7 /  8 | epoch   3 | time: 13.71s | valid loss  2.02 | valid ppl     7.52 | learning rate 5.0000
| end of split   8 /  8 | epoch   3 | time: 16.29s | valid loss  2.02 | valid ppl     7.55 | learning rate 5.0000
| end of split   1 /  8 | epoch   4 | time: 14.83s | valid loss  2.00 | valid ppl     7.36 | learning rate 5.0000
| end of split   2 /  8 | epoch   4 | time: 13.02s | valid loss  1.98 | valid ppl     7.27 | learning rate 5.0000
| end of split   3 /  8 | epoch   4 | time: 13.63s | valid loss  1.99 | valid ppl     7.33 | learning rate 5.0000
| end of split   4 /  8 | epoch   4 | time: 14.89s | valid loss  1.97 | valid ppl     7.18 | learning rate 5.0000
| end of split   5 /  8 | epoch   4 | time: 16.92s | valid loss  1.97 | valid ppl     7.19 | learning rate 5.0000
| end of split   6 /  8 | epoch   4 | time: 18.58s | valid loss  1.99 | valid ppl     7.33 | learning rate 5.0000
| end of split   7 /  8 | epoch   4 | time: 18.62s | valid loss  2.00 | valid ppl     7.41 | learning rate 5.0000
| end of split   8 /  8 | epoch   4 | time: 13.24s | valid loss  1.96 | valid ppl     7.08 | learning rate 5.0000
| end of split   1 /  8 | epoch   5 | time: 14.83s | valid loss  1.94 | valid ppl     6.98 | learning rate 5.0000
| end of split   2 /  8 | epoch   5 | time: 13.85s | valid loss  1.93 | valid ppl     6.86 | learning rate 5.0000
| end of split   3 /  8 | epoch   5 | time: 18.71s | valid loss  1.98 | valid ppl     7.22 | learning rate 5.0000
| end of split   4 /  8 | epoch   5 | time: 14.30s | valid loss  1.92 | valid ppl     6.85 | learning rate 5.0000
| end of split   5 /  8 | epoch   5 | time: 14.02s | valid loss  1.93 | valid ppl     6.87 | learning rate 5.0000
| end of split   6 /  8 | epoch   5 | time: 18.24s | valid loss  1.99 | valid ppl     7.28 | learning rate 5.0000
| end of split   7 /  8 | epoch   5 | time: 16.07s | valid loss  1.93 | valid ppl     6.92 | learning rate 5.0000
| end of split   8 /  8 | epoch   5 | time: 12.64s | valid loss  1.91 | valid ppl     6.77 | learning rate 5.0000
| end of split   1 /  8 | epoch   6 | time: 15.61s | valid loss  1.91 | valid ppl     6.77 | learning rate 5.0000
| end of split   2 /  8 | epoch   6 | time: 13.65s | valid loss  1.89 | valid ppl     6.65 | learning rate 5.0000
| end of split   3 /  8 | epoch   6 | time: 14.01s | valid loss  1.90 | valid ppl     6.66 | learning rate 5.0000
| end of split   4 /  8 | epoch   6 | time: 19.09s | valid loss  1.94 | valid ppl     6.97 | learning rate 5.0000
| end of split   5 /  8 | epoch   6 | time: 18.33s | valid loss  1.98 | valid ppl     7.21 | learning rate 5.0000
